PLAYER,A,H,SF,IO,E,IBB,R,SH,HP,SB,PO,BB,RBI,AB,K,CS,PA,BA,OBP
Blaise Cardonne,13,9,0,0,4,0,9,0,1,6,4,7,11,18,0,1,26,0.5,0.65384614
Loic Vallar,5,10,0,0,0,0,12,0,0,11,18,8,7,26,2,0,34,0.3846154,0.5294118
Alexandre Freulon,7,3,0,0,1,0,5,0,0,5,2,4,3,12,2,0,16,0.25,0.4375
Mathieu Le Bian,0,0,0,0,0,0,1,0,0,1,1,1,0,3,3,0,4,0.0,0.25
Mickael Valck,0,6,0,0,2,0,4,0,0,6,5,5,7,10,0,0,15,0.6,0.73333335
Renaud Trubuil,1,1,0,0,0,0,3,0,0,0,0,3,2,6,2,0,9,0.16666667,0.44444445
Arnaud Pommaret,1,3,0,0,1,0,4,0,0,0,3,2,2,7,1,0,9,0.42857143,0.5555556
Nael Palaric,2,2,0,0,3,0,5,0,1,4,13,5,1,12,3,0,18,0.16666667,0.44444445
Thibaut Pinier,0,3,0,0,2,0,6,0,0,5,0,3,1,4,0,0,7,0.75,0.85714287
Matthieu Marseille,5,4,0,0,2,0,8,0,0,2,0,8,9,13,2,0,21,0.30769232,0.5714286
Anthony Granata,2,2,0,0,2,0,6,0,1,2,2,4,4,7,1,0,12,0.2857143,0.5833333
Quentin Le Toullec,0,2,0,0,1,0,3,0,1,1,0,5,5,7,4,0,13,0.2857143,0.61538464
Charlotte Kopf,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,0,6,0.0,0.16666667
Sylvain Violon,0,1,1,0,1,0,3,0,0,3,28,5,1,12,4,0,19,0.083333336,0.33333334
Jeremy Garrett,2,1,0,0,1,0,3,0,0,2,2,4,2,7,0,0,11,0.14285715,0.45454547
David Elegouet,7,4,0,0,0,0,3,0,2,1,5,1,5,13,0,0,16,0.30769232,0.4375
Nicolas Chaloub,2,5,0,0,1,0,8,0,2,0,2,6,4,11,1,0,19,0.45454547,0.68421054
Julien Merlhe,3,3,0,0,2,0,9,0,0,7,14,9,3,11,1,0,20,0.27272728,0.6
Bastien Constans,0,1,0,0,0,0,2,0,0,1,0,2,2,2,0,0,4,0.5,0.75
Guillaume Lazies,3,4,0,0,0,0,5,0,1,5,5,1,5,7,0,0,9,0.5714286,0.6666667
Jordan Cosio,0,1,0,0,0,0,3,0,0,1,1,3,0,3,1,0,6,0.33333334,0.6666667
Louis Vignon,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,4,0.0,0.0
Edouard Mordant,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,7,0.0,0.0
Jasper Verbeke,0,1,0,0,1,0,4,0,0,3,6,3,1,2,1,0,5,0.5,0.8
Come Giron,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.0,0.0
Jean Lecoq,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,3,0.0,0.0
